Company,Symbol,companyLow,companyFinal
Beyondspring ,BYSI,beyondspring ,beyondspring
BGC Partners ,BGCP,bgc partners ,bgc partners
Big 5 Sporting Goods oration,BGFV,big 5 sporting goods oration,big 5 sporting
BigBand Networks  (Inactive),BBND,bigband networks  (inactive),bigband networks
Bioanalytical Systems ,BASI,bioanalytical systems ,bioanalytical systems
Bioblast Pharma ,ORPN,bioblast pharma ,bioblast pharma
Biocept ,BIOC,biocept ,biocept
BioCryst Pharmaceuticals ,BCRX,biocryst pharmaceuticals ,biocryst pharmaceuticals
BioDelivery Sciences International ,BDSI,biodelivery sciences international ,biodelivery sciences international
Biogen  ExDistribution When Issued,BIIBV,biogen  exdistribution when issued,biogen exdistribution
Biogen ,BIIB,biogen ,biogen
BIOLASE ,BIOL,biolase ,biolase
BioLife Solutions ,BLFS,biolife solutions ,biolife solutions
BioLight Life Sciences  Ordinary Shares,BOLT,biolight life sciences  ordinary shares,biolight life sciences
Bioline RX ,BLRX,bioline rx ,bioline rx
BioMarin Pharmaceutical ,BMRN,biomarin pharmaceutical ,biomarin pharmaceutical
Biomerica ,BMRA,biomerica ,biomerica
BioMimetic Therapeutics  (Inactive),BMTI,biomimetic therapeutics  (inactive),biomimetic therapeutics
BiondVax Pharmaceuticals  (ADR),BVXV,biondvax pharmaceuticals  (adr),biondvax pharmaceuticals
BioPath Holdings ,BPTH,biopath holdings ,biopath holdings
Bioptix ,BIOP,bioptix ,bioptix
BioReference Laboratories ,BRLI,bioreference laboratories ,bioreference laboratories
BioScrip ,BIOS,bioscrip ,bioscrip
BioShares Biotechnology Clinical Trials Fund,BBC,bioshares biotechnology clinical trials fund,bioshares biotechnology clinical
BioShares Biotechnology Products Fund,BBP,bioshares biotechnology products fund,bioshares biotechnology products
BioSpecifics Technologies ,BSTC,biospecifics technologies ,biospecifics technologies
Biostage ,BSTG,biostage ,biostage
Biostar Pharmaceuticals ,BSPM,biostar pharmaceuticals ,biostar pharmaceuticals
BIOTECHNE ,TECH,biotechne ,biotechne
BioTelemetry ,BEAT,biotelemetry ,biotelemetry
Biotie Therapies  (ADR),BITI,biotie therapies  (adr),biotie therapies
Bioventus ,BIOV,bioventus ,bioventus
Bioverativ ,BIVV,bioverativ ,bioverativ
BJ's Restaurants ,BJRI,bj's restaurants ,bj's restaurants
Black Box oration,BBOX,black box oration,black box oration
Black Diamond ,BDE,black diamond ,black diamond
Blackbaud ,BLKB,blackbaud ,blackbaud
BlackBerry ,BBRY,blackberry ,blackberry
Blackhawk Network Holdings ,HAWK,blackhawk network holdings ,blackhawk network holdings
Blackline ,BL,blackline ,blackline
BlackRock,BLK,blackrock,blackrock
Blackrock Capital Investment ,BKCC,blackrock capital investment ,blackrock capital investment
Bloomin' Brands ,BLMN,bloomin' brands ,bloomin' brands
Blucora ,BCOR,blucora ,blucora
Blue Buffalo Pet Products ,BUFF,blue buffalo pet products ,blue buffalo pet
Blue Coat Systems  (Inactive),BCSI,blue coat systems  (inactive),blue coat systems
Blue Hills Ban ,BHBK,blue hills ban ,blue hills ban
Blue Nile ,NILE,blue nile ,blue nile
Blue Wolf Mongolia Holdings ,MNGL,blue wolf mongolia holdings ,blue wolf mongolia
bluebird bio ,BLUE,bluebird bio ,bluebird bio
Bluefly ,BFLY,bluefly ,bluefly
Blueprint Medicines ,BPMC,blueprint medicines ,blueprint medicines
BlueStar TABIGITech Israel Technology ETF,ITEQ,bluestar tabigitech israel technology etf,bluestar tabigitech israel
Bluestem Brands ,BSTM,bluestem brands ,bluestem brands
BMC Software ,BMC,bmc software ,bmc software
BMC Stock Holdings ,BMCH,bmc stock holdings ,bmc stock holdings
BNC Ban,BNCN,bnc ban,bnc ban
Bob Evans Farms ,BOBE,bob evans farms ,bob evans farms
Boeing Company,BA,boeing company,boeing company
BofI Holding ,BOFI,bofi holding ,bofi holding
Boingo Wireless ,WIFI,boingo wireless ,boingo wireless
Bojangles ,BOJA,bojangles ,bojangles
BOK Financial oration,BOKF,bok financial oration,bok financial oration
Bona Film Group  (ADR),BONA,bona film group  (adr),bona film group
Bonso Electronics International ,BNSO,bonso electronics international ,bonso electronics international
BonTon Stores ,BONT,bonton stores ,bonton stores
Booking Holdings ,BKNG,booking holdings ,booking holdings
BooksAMillion ,BAMM,booksamillion ,booksamillion
Borderfree ,BRDR,borderfree ,borderfree
BorgWarner,BWA,borgwarner,borgwarner
BOS Better OnLine Sol (USA),BOSC,bos better online sol (usa),bos better online
Boston Properties,BXP,boston properties,boston properties
Boston Scientific,BSX,boston scientific,boston scientific
Bottomline Technologies,EPAY,bottomline technologies,bottomline technologies
Boulder Brands ,BDBD,boulder brands ,boulder brands
Boxlight ,BOXL,boxlight ,boxlight
Braeburn Pharmaceuticals ,BBRX,braeburn pharmaceuticals ,braeburn pharmaceuticals
Brainstorm Cell Therapeutics ,BCLI,brainstorm cell therapeutics ,brainstorm cell therapeutics
Bravo Brio Restaurant Group ,BBRG,bravo brio restaurant group ,bravo brio restaurant
Bridge Ban ,BDGE,bridge ban ,bridge ban
Bridge Capital Holdings,BBNK,bridge capital holdings,bridge capital holdings
Bridgeline Digital ,BLIN,bridgeline digital ,bridgeline digital
Bridgford Foods oration,BRID,bridgford foods oration,bridgford foods oration
Brightcove ,BCOV,brightcove ,brightcove
Brightpoint  (Inactive),CELL,brightpoint  (inactive),brightpoint (inactive)
Bristol-Myers Squibb,BMY,bristol-myers squibb,bristol-myers squibb
Broadcom oration,BRCM,broadcom oration,broadcom oration
Broadcom ,AVGO,broadcom ,broadcom
Broadridge Financial Solutions,BR,broadridge financial solutions,broadridge financial solutions
BroadSoft ,BSFT,broadsoft ,broadsoft
BroadVision ,BVSN,broadvision ,broadvision
Broadway Financial ,BYFC,broadway financial ,broadway financial
Broadwind Energy ,BWEN,broadwind energy ,broadwind energy
Brocade Communications Systems ,BRCD,brocade communications systems ,brocade communications systems
Brookline Ban ,BRKL,brookline ban ,brookline ban
Brooklyn Federal Ban  (Inactive),BFSB,brooklyn federal ban  (inactive),brooklyn federal ban
Brooks Automation ,BRKS,brooks automation ,brooks automation
Brown-Forman ,BFB,brown-forman ,brown-forman
Bruker oration,BRKR,bruker oration,bruker oration
Bryn Mawr Bank ,BMTC,bryn mawr bank ,bryn mawr bank
BSB Ban ,BLMT,bsb ban ,bsb ban
BSQUARE oration,BSQR,bsquare oration,bsquare oration
BTU International ,BTUI,btu international ,btu international
Buffalo Wild Wings,BWLD,buffalo wild wings,buffalo wild wings
Builders FirstSource ,BLDR,builders firstsource ,builders firstsource
BullMark LatAm Select Leaders ETF,BMLA,bullmark latam select leaders etf,bullmark latam select
Burcon NutraScience ,BUR,burcon nutrascience ,burcon nutrascience
C H Robinson Worldwide,CHRW,c h robinson worldwide,c h robinson
C&F Financial ,CFFI,c&f financial ,c&f financial
CA ,CA,ca ,ca
Cabot Microelectronics oration,CCMP,cabot microelectronics oration,cabot microelectronics oration
Cabot Oil & Gas,COG,cabot oil & gas,cabot oil &
Cadence Design Systems,CDNS,cadence design systems,cadence design systems
Cadence Pharmaceuticals  (Inactive),CADX,cadence pharmaceuticals  (inactive),cadence pharmaceuticals
Cadiz ,CDZI,cadiz ,cadiz
Caesars Acquisition Company,CACQ,caesars acquisition company,caesars acquisition company
Caesars Entertainment ,CZR,caesars entertainment ,caesars entertainment
Caesarstone ,CSTE,caesarstone ,caesarstone
CafePress ,PRSS,cafepress ,cafepress
Caladrius Biosciences ,CLBS,caladrius biosciences ,caladrius biosciences
Calamos Asset Management ,CLMS,calamos asset management ,calamos asset management
Calamos Conv Opptys & ome Fund,CHI,calamos conv opptys & ome fund,calamos conv opptys
Calamos Convertible & Hi ome Fund,CHY,calamos convertible & hi ome fund,calamos convertible &
Calamos Dynamic Convertible & m Fd,CCD,calamos dynamic convertible & m fd,calamos dynamic convertible
Calamos ETF Trust,CFGE,calamos etf trust,calamos etf trust
Calamos Global Dynamic ome Fund,CHW,calamos global dynamic ome fund,calamos global dynamic
Calamos Global Total Return Fund,CGO,calamos global total return fund,calamos global total
Calamos Strategic Total Return Fund,CSQ,calamos strategic total return fund,calamos strategic total
CalAmp ,CAMP,calamp ,calamp
Calavo Growers ,CVGW,calavo growers ,calavo growers
California First National Ban,CFNB,california first national ban,california first national
Calithera Biosciences ,CALA,calithera biosciences ,calithera biosciences
Callidus Software ,CALD,callidus software ,callidus software
CalMaine Foods ,CALM,calmaine foods ,calmaine foods
Calumet Specialty Products Partners LP,CLMT,calumet specialty products partners lp,calumet specialty products
Cambium Learning Group ,ABCD,cambium learning group ,cambium learning group
Camco Financial  (Inactive),CAFI,camco financial  (inactive),camco financial
Camden National oration,CAC,camden national oration,camden national oration
Campbell Soup,CPB,campbell soup,campbell soup
Camtek ,CAMT,camtek ,camtek
Canadian Solar ,CSIQ,canadian solar ,canadian solar
Cancer Genetics ,CGIX,cancer genetics ,cancer genetics
Canterbury Park Holding oration,CPHC,canterbury park holding oration,canterbury park holding
Cape Ban ,CBNJ,cape ban ,cape ban
Capella Education Company,CPLA,capella education company,capella education company
Capital Bank oration (Inactive),CBKN,capital bank oration (inactive),capital bank oration
Capital City Bank Group ,CCBG,capital city bank group ,capital city bank
Capital One Financial,COF,capital one financial,capital one financial
Capital Product Partners LP,CPLP,capital product partners lp,capital product partners
Capitala Finance ,CPTA,capitala finance ,capitala finance
Capitol Federal Financial ,CFFN,capitol federal financial ,capitol federal financial
Capnia ,CAPNU,capnia ,capnia
Capricor Therapeutics ,CAPR,capricor therapeutics ,capricor therapeutics
Capstar Financial Holdings ,CSTR,capstar financial holdings ,capstar financial holdings
Capstone Turbine oration,CPST,capstone turbine oration,capstone turbine oration
Cara Therapeutics ,CARA,cara therapeutics ,cara therapeutics
Carbonite ,CARB,carbonite ,carbonite
Cardinal Financial oration,CFNL,cardinal financial oration,cardinal financial oration
Cardinal Health ,CAH,cardinal health ,cardinal health
CardioDx ,CDX,cardiodx ,cardiodx
CARDIOME PHARMA ,CRME,cardiome pharma ,cardiome pharma
Cardiovascular Systems ,CSII,cardiovascular systems ,cardiovascular systems
Cardtronics ,CATM,cardtronics ,cardtronics
CareDx ,CDNA,caredx ,caredx
Career Education ,CECO,career education ,career education
Caretrust REIT ,CTRE,caretrust reit ,caretrust reit
Caribou Coffee Company  (Inactive),CBOU,caribou coffee company  (inactive),caribou coffee company
Carmax ,KMX,carmax ,carmax
Carmike Cinemas ,CKEC,carmike cinemas ,carmike cinemas
Carnival ,CCL,carnival ,carnival
Carolina Bank Holding  (NC),CLBH,carolina bank holding  (nc),carolina bank holding
Carolina Financial ,CARO,carolina financial ,carolina financial
Carolina Trust BancShares ,CART,carolina trust bancshares ,carolina trust bancshares
Carrier Global,CARR,carrier global,carrier global
Carrizo Oil & Gas ,CRZO,carrizo oil & gas ,carrizo oil &
Carrols Restaurant Group ,TAST,carrols restaurant group ,carrols restaurant group
Cartesian ,CRTN,cartesian ,cartesian
Carver Ban ,CARV,carver ban ,carver ban
CAS Medical Systems ,CASM,cas medical systems ,cas medical systems
Cascade Ban,CACB,cascade ban,cascade ban
Cascade Microtech ,CSCD,cascade microtech ,cascade microtech
Cascadian Therapeutics  (USA),CASC,cascadian therapeutics  (usa),cascadian therapeutics
Casella Waste Systems ,CWST,casella waste systems ,casella waste systems
Casey's General Stores ,CASY,casey's general stores ,casey's general stores
CASI Pharmaceuticals ,CASI,casi pharmaceuticals ,casi pharmaceuticals
Cass Information Systems,CASS,cass information systems,cass information systems
Catabasis Pharmaceuticals ,CATB,catabasis pharmaceuticals ,catabasis pharmaceuticals
Catalyst Biosciences ,CBIO,catalyst biosciences ,catalyst biosciences
Catalyst Health Solutions  (Inactive),CHSI,catalyst health solutions  (inactive),catalyst health solutions
Catalyst Pharmaceuticals ,CPRX,catalyst pharmaceuticals ,catalyst pharmaceuticals
Catamaran  (USA),CTRX,catamaran  (usa),catamaran (usa)
Catasys ,CATS,catasys ,catasys
Caterpillar ,CAT,caterpillar ,caterpillar
Cathay General Ban,CATY,cathay general ban,cathay general ban
Cavco Industries ,CVCO,cavco industries ,cavco industries
Cavium ,CAVM,cavium ,cavium
Cazador Acquisition  ,CAZA,cazador acquisition  ,cazador acquisition
CB Financial Services ,CBFV,cb financial services ,cb financial services
CBAK Energy Technology ,CBAK,cbak energy technology ,cbak energy technology
Cbeyond  (Inactive),CBEY,cbeyond  (inactive),cbeyond (inactive)
Cboe Global Markets,CBOE,cboe global markets,cboe global markets
CBRE Group,CBRE,cbre group,cbre group
CDK Global ,CDK,cdk global ,cdk global
CDW,CDW,cdw,cdw
CE Franklin  (USA),CFK,ce franklin  (usa),ce franklin
CECO Environmental ,CECE,ceco environmental ,ceco environmental
Celanese,CE,celanese,celanese
Celator Pharmaceuticals ,CPXX,celator pharmaceuticals ,celator pharmaceuticals
Celgene oration,CELG,celgene oration,celgene oration
Celldex Therapeutics ,CLDX,celldex therapeutics ,celldex therapeutics
Cellect Biotechnology   American Depositary Shares,APOP,cellect biotechnology   american depositary shares,cellect biotechnology
Cellectar Biosciences ,CLRB,cellectar biosciences ,cellectar biosciences
Cellectis SA (ADR),CLLS,cellectis sa (adr),cellectis sa (adr)
Cellmark Forensics  (Inactive),ORCH,cellmark forensics  (inactive),cellmark forensics
Cellular Biomedicine Group ,CBMG,cellular biomedicine group ,cellular biomedicine group
Cellular Dynamics International ,ICEL,cellular dynamics international ,cellular dynamics international
Celsion oration,CLSN,celsion oration,celsion oration
Celsius Holdings ,CELH,celsius holdings ,celsius holdings
Celyad SA (ADR),CYAD,celyad sa (adr),celyad sa (adr)
Cempra ,CEMP,cempra ,cempra
Centene oration,CNC,centene oration,centene oration
Center Financial oration,CLFC,center financial oration,center financial oration
CenterPoint Energy,CNP,centerpoint energy,centerpoint energy
CenterState Banks ,CSFL,centerstate banks ,centerstate banks
Central Ban  (Inactive),CEBK,central ban  (inactive),central ban
Central European Media Enterprises ,CETV,central european media enterprises ,central european media
Central Federal oration,CFBK,central federal oration,central federal oration
Central Valley Community Ban,CVCY,central valley community ban,central valley community
Centrue Financial ,CFCB,centrue financial ,centrue financial
Century Aluminum Co,CENX,century aluminum co,century aluminum co
Century Ban ,CNBKA,century ban ,century ban
Century Casinos ,CNTY,century casinos ,century casinos
CenturyLink ,CTL,centurylink ,centurylink
Cepheid,CPHD,cepheid,cepheid
Ceradyne  (Inactive),CRDN,ceradyne  (inactive),ceradyne (inactive)
Ceragon Networks ,CRNT,ceragon networks ,ceragon networks
Ceres ,CERE,ceres ,ceres
Cerner,CERN,cerner,cerner
Cerulean Pharma ,CERU,cerulean pharma ,cerulean pharma
Cerus oration,CERS,cerus oration,cerus oration
Cesca Therapeutics ,KOOL,cesca therapeutics ,cesca therapeutics
CEVA ,CEVA,ceva ,ceva
CF Industries Holdings ,CF,cf industries holdings ,cf industries holdings
CFS Ban  (Inactive),CITZ,cfs ban  (inactive),cfs ban
Champions Oncology ,CSBR,champions oncology ,champions oncology
Changyou  (ADR),CYOU,changyou  (adr),changyou (adr)
Chanticleer Holdings ,HOTR,chanticleer holdings ,chanticleer holdings
Charles & Colvard ,CTHR,charles & colvard ,charles & colvard
Charles Schwab oration,SCHW,charles schwab oration,charles schwab oration
Charm Communications  (ADR),CHRM,charm communications  (adr),charm communications
Chart Industries ,GTLS,chart industries ,chart industries
Charter Communications,CHTR,charter communications,charter communications
Charter Financial ,CHFN,charter financial ,charter financial
Check Cap ,CHEK,check cap ,check cap
Check Point Software Technologies ,CHKP,check point software technologies ,check point software
